,QE_I04,QE_I05,QE_I08,NT_GER,QE_I04n,QE_I05n,QE_I08n
1636,A,C,A,51.2,1,3,1
1637,A,C,B,55.4,1,3,2
1638,A,B,A,42.4,1,2,1
1639,D,C,A,47.6,4,3,1
1640,A,A,A,39.7,1,1,1
1641,D,B,A,64.2,4,2,1
1642,A,B,A,60.2,1,2,1
1643,B,B,A,38.6,2,2,1
1644,A,B,B,69.2,1,2,2
1645,A,B,A,54.3,1,2,1
1646,B,C,B,60.8,2,3,2
1647,B,B,A,34.8,2,2,1
1648,A,A,C,46.9,1,1,3
1649,A,A,A,47.6,1,1,1
1650,A,E,A,39.7,1,5,1
1651,B,B,B,48.2,2,2,2
1652,B,D,A,33.9,2,4,1
1653,A,B,A,47.0,1,2,1
1654,D,D,A,51.2,4,4,1
1655,B,E,B,55.3,2,5,2
1656,D,F,B,79.5,4,6,2
1657,B,D,A,62.5,2,4,1
1658,B,D,A,50.4,2,4,1
1659,B,B,A,32.8,2,2,1
1660,D,B,A,27.1,4,2,1
1661,A,B,A,62.3,1,2,1
1662,B,C,B,38.1,2,3,2
1663,B,B,A,38.3,2,2,1
1664,A,B,A,48.6,1,2,1
1665,D,D,A,51.8,4,4,1
1666,B,F,C,51.1,2,6,3
