,QE_I04,QE_I05,QE_I08,NT_GER,QE_I04n,QE_I05n,QE_I08n
1063,A,E,B,44.9,1,5,2
1064,A,B,A,45.2,1,2,1
1065,D,E,C,39.2,4,5,3
1066,E,C,D,43.6,5,3,4
1067,B,E,A,41.7,2,5,1
1068,B,D,A,49.3,2,4,1
1069,D,D,A,55.1,4,4,1
1070,A,B,A,33.1,1,2,1
1071,B,E,D,28.3,2,5,4
1072,D,D,A,46.6,4,4,1
1073,C,E,B,42.6,3,5,2
1074,A,B,A,59.7,1,2,1
1075,C,C,A,48.4,3,3,1
1076,B,B,A,34.6,2,2,1
1077,B,D,A,30.1,2,4,1
1078,C,D,B,43.3,3,4,2
1079,C,D,A,53.6,3,4,1
1080,C,D,C,33.0,3,4,3
1081,E,E,B,41.2,5,5,2
1082,D,E,B,51.6,4,5,2
1083,D,B,A,54.5,4,2,1
1084,B,D,A,43.3,2,4,1
1085,B,B,A,38.8,2,2,1
1086,C,F,B,58.3,3,6,2
1087,D,E,B,48.7,4,5,2
1088,F,D,C,53.6,6,4,3
1089,B,C,A,58.5,2,3,1
1090,C,C,A,48.8,3,3,1
1091,C,F,A,59.5,3,6,1
1092,C,B,A,54.0,3,2,1
1093,B,B,A,30.0,2,2,1
1094,E,E,C,47.8,5,5,3
1095,E,E,B,37.9,5,5,2
1096,B,C,B,35.8,2,3,2
1097,D,E,A,53.2,4,5,1
1098,A,D,A,55.3,1,4,1
1099,D,E,A,55.3,4,5,1
1100,E,D,B,56.6,5,4,2
1101,B,B,A,29.3,2,2,1
1102,D,D,B,56.8,4,4,2
1103,D,D,B,36.0,4,4,2
1104,E,F,B,28.9,5,6,2
1106,D,E,A,42.9,4,5,1
1107,D,D,A,37.4,4,4,1
1108,A,B,A,33.2,1,2,1
1109,B,D,B,48.4,2,4,2
1110,A,C,A,26.2,1,3,1
1111,B,D,B,44.8,2,4,2
1112,D,D,A,26.0,4,4,1
1113,A,A,A,48.2,1,1,1
1114,A,D,A,32.9,1,4,1
1115,A,C,A,22.4,1,3,1
1116,E,D,A,38.8,5,4,1
1117,B,C,B,36.3,2,3,2
1118,A,A,A,24.7,1,1,1
1119,B,D,A,43.2,2,4,1
1120,C,E,A,43.6,3,5,1
1121,D,B,A,36.1,4,2,1
1122,B,B,A,26.2,2,2,1
1123,C,E,B,33.1,3,5,2
1124,B,F,B,46.8,2,6,2
1125,B,D,B,24.3,2,4,2
1126,B,C,A,30.8,2,3,1
1127,C,C,A,28.6,3,3,1
1128,B,B,B,23.6,2,2,2
1129,B,D,B,53.8,2,4,2
1130,C,E,A,13.4,3,5,1
1131,B,B,A,24.0,2,2,1
1132,A,B,A,23.4,1,2,1
1133,D,E,B,29.1,4,5,2
1134,C,C,A,44.0,3,3,1
1135,C,D,C,26.4,3,4,3
1136,E,F,C,42.9,5,6,3
1137,B,C,A,47.2,2,3,1
1138,A,B,B,27.0,1,2,2
1139,F,E,E,37.2,6,5,5
1140,B,D,A,44.3,2,4,1
1141,B,B,A,32.4,2,2,1
1142,B,C,B,26.9,2,3,2
1143,C,D,A,45.3,3,4,1
1144,A,D,B,55.7,1,4,2
1145,C,D,B,43.7,3,4,2
1146,C,D,A,42.6,3,4,1
1147,A,B,A,27.9,1,2,1
1148,B,B,A,30.7,2,2,1
1149,D,E,B,28.0,4,5,2
1150,C,E,A,54.0,3,5,1
1151,E,D,B,26.1,5,4,2
1152,D,B,A,66.4,4,2,1
1153,D,E,B,27.3,4,5,2
1154,D,D,B,27.0,4,4,2
1155,F,C,D,52.2,6,3,4
1156,D,D,A,54.2,4,4,1
1157,D,D,A,16.4,4,4,1
1158,C,D,C,50.7,3,4,3
1159,D,D,B,35.9,4,4,2
1160,D,D,B,53.1,4,4,2
1161,D,F,B,37.4,4,6,2
1162,B,E,B,41.2,2,5,2
1163,E,E,E,34.2,5,5,5
1164,D,D,A,37.1,4,4,1
1165,D,D,A,43.4,4,4,1
1166,D,E,A,34.1,4,5,1
1167,D,D,C,42.7,4,4,3
1168,E,D,C,56.3,5,4,3
1169,C,C,A,52.4,3,3,1
1170,D,C,C,36.1,4,3,3
1171,C,E,B,48.1,3,5,2
1172,E,F,D,27.7,5,6,4
1173,A,D,B,49.4,1,4,2
1174,D,F,B,49.6,4,6,2
1175,C,E,F,41.9,3,5,6
1176,B,D,D,63.1,2,4,4
1177,E,D,E,41.5,5,4,5
1178,D,F,E,22.7,4,6,5
1179,B,D,B,45.9,2,4,2
1180,D,D,C,53.1,4,4,3
1181,C,D,C,53.2,3,4,3
1182,F,E,F,45.1,6,5,6
1183,E,D,E,41.8,5,4,5
1184,E,D,A,28.5,5,4,1
1185,D,E,D,38.1,4,5,4
1186,F,E,E,58.3,6,5,5
1187,E,E,D,33.3,5,5,4
1188,F,F,E,48.1,6,6,5
1189,D,F,C,47.4,4,6,3
1190,D,D,C,37.8,4,4,3
1191,E,F,E,44.1,5,6,5
1192,D,E,B,57.1,4,5,2
1193,B,D,A,68.5,2,4,1
1194,E,E,E,55.3,5,5,5
1195,D,D,D,47.9,4,4,4
1196,E,F,C,42.6,5,6,3
1197,F,E,C,43.9,6,5,3
1198,B,C,B,39.2,2,3,2
1199,E,D,E,46.3,5,4,5
1200,C,D,A,41.7,3,4,1
1201,B,B,A,45.0,2,2,1
1202,F,E,C,35.0,6,5,3
1203,B,D,B,54.9,2,4,2
1204,B,B,B,44.9,2,2,2
1205,C,B,A,49.4,3,2,1
1206,E,D,C,39.8,5,4,3
1207,C,C,B,34.1,3,3,2
1208,B,D,B,47.4,2,4,2
1209,B,B,A,46.2,2,2,1
1210,A,B,A,52.1,1,2,1
1211,B,B,B,47.4,2,2,2
1212,A,D,B,49.3,1,4,2
1213,A,A,B,30.4,1,1,2
1214,B,B,C,44.3,2,2,3
1215,C,C,B,39.5,3,3,2
1216,A,B,A,35.0,1,2,1
1217,B,B,A,59.0,2,2,1
1218,A,B,A,31.5,1,2,1
1219,B,C,A,54.7,2,3,1
1220,B,D,B,43.0,2,4,2
1221,B,B,B,57.8,2,2,2
1222,E,E,B,60.8,5,5,2
1223,A,D,A,44.2,1,4,1
1224,B,C,B,65.3,2,3,2
1225,B,B,A,43.1,2,2,1
1226,B,B,B,49.2,2,2,2
1227,A,B,A,39.1,1,2,1
1228,A,B,A,50.6,1,2,1
1229,B,C,A,64.4,2,3,1
1230,B,B,A,43.4,2,2,1
1231,B,B,B,49.2,2,2,2
1232,B,D,A,34.9,2,4,1
1233,B,B,A,46.5,2,2,1
1234,E,E,A,63.1,5,5,1
1235,B,B,A,48.1,2,2,1
1236,B,B,A,60.4,2,2,1
1237,B,D,A,22.8,2,4,1
1238,A,D,A,34.4,1,4,1
1239,B,C,A,49.6,2,3,1
1240,B,E,D,43.6,2,5,4
1241,B,B,A,36.7,2,2,1
1242,B,B,A,44.3,2,2,1
1243,B,C,B,61.5,2,3,2
1244,E,C,A,43.3,5,3,1
1245,A,F,D,46.8,1,6,4
1246,E,D,A,40.7,5,4,1
1247,D,C,C,59.2,4,3,3
1248,C,C,B,27.1,3,3,2
1249,D,D,A,74.6,4,4,1
1250,B,D,A,57.2,2,4,1
1251,B,B,A,35.8,2,2,1
1252,B,A,A,52.4,2,1,1
1253,B,D,A,45.5,2,4,1
1254,A,B,A,73.3,1,2,1
1255,D,C,A,73.9,4,3,1
1256,A,B,A,42.3,1,2,1
1257,A,B,A,45.1,1,2,1
1258,B,B,A,59.5,2,2,1
1259,A,B,A,48.9,1,2,1
1260,A,B,A,46.1,1,2,1
1261,D,C,A,43.2,4,3,1
1262,D,B,A,42.8,4,2,1
1263,B,F,A,37.3,2,6,1
1264,D,E,B,62.6,4,5,2
1265,B,B,A,42.0,2,2,1
1266,B,A,A,27.1,2,1,1
1267,B,B,B,45.6,2,2,2
1268,A,B,A,29.7,1,2,1
1269,D,D,A,53.0,4,4,1
1270,D,D,A,63.8,4,4,1
1271,D,D,B,56.3,4,4,2
1272,B,B,A,49.1,2,2,1
1273,C,D,B,47.5,3,4,2
1274,C,B,B,65.8,3,2,2
1275,B,D,B,35.6,2,4,2
1276,C,C,B,39.9,3,3,2
1278,B,D,B,46.7,2,4,2
1279,B,B,A,57.6,2,2,1
1280,B,C,A,18.8,2,3,1
1281,B,C,B,44.2,2,3,2
1282,D,D,A,70.9,4,4,1
1283,D,D,D,52.6,4,4,4
1284,C,D,A,38.7,3,4,1
1286,B,C,A,61.9,2,3,1
1287,A,C,A,62.5,1,3,1
1288,A,B,A,50.8,1,2,1
1289,B,C,B,31.8,2,3,2
1290,D,D,D,43.9,4,4,4
1291,A,B,B,28.3,1,2,2
1292,E,D,B,68.6,5,4,2
1293,C,D,B,49.3,3,4,2
1294,B,B,B,47.2,2,2,2
1295,F,E,E,62.5,6,5,5
1296,B,E,B,41.4,2,5,2
1297,E,E,B,54.3,5,5,2
1298,E,F,E,65.2,5,6,5
1299,E,E,B,72.4,5,5,2
1300,E,D,F,79.0,5,4,6
1301,E,E,A,45.3,5,5,1
1302,E,C,B,40.3,5,3,2
1303,F,F,F,60.3,6,6,6
1304,B,E,B,48.2,2,5,2
1305,D,D,C,36.6,4,4,3
1306,B,B,B,30.7,2,2,2
1307,C,D,A,40.6,3,4,1
1308,E,E,B,34.4,5,5,2
1309,E,E,B,35.7,5,5,2
1310,B,D,A,36.9,2,4,1
1311,D,E,B,49.0,4,5,2
1312,D,D,A,28.4,4,4,1
1313,B,B,A,51.0,2,2,1
1314,D,D,B,47.5,4,4,2
1315,B,B,B,46.7,2,2,2
1316,D,D,B,42.3,4,4,2
1317,B,B,A,44.5,2,2,1
1318,F,D,F,35.0,6,4,6
1319,B,D,B,29.7,2,4,2
1320,B,B,A,28.8,2,2,1
1321,D,E,A,44.2,4,5,1
1322,C,D,A,46.3,3,4,1
1323,D,E,C,49.0,4,5,3
1324,A,B,A,30.8,1,2,1
1325,D,E,B,39.2,4,5,2
1326,A,B,A,42.8,1,2,1
1327,D,F,B,30.9,4,6,2
1328,D,E,B,26.8,4,5,2
1329,C,E,C,40.4,3,5,3
1330,D,D,B,20.5,4,4,2
1331,B,E,B,42.1,2,5,2
1332,F,F,F,46.4,6,6,6
1333,A,A,A,34.0,1,1,1
1334,E,E,A,16.8,5,5,1
1335,B,C,B,42.2,2,3,2
1336,B,C,B,33.9,2,3,2
1337,D,E,B,31.0,4,5,2
1338,D,D,A,39.5,4,4,1
1339,E,E,B,37.9,5,5,2
1340,D,C,B,9.1,4,3,2
1341,B,C,A,48.8,2,3,1
1342,B,C,A,28.5,2,3,1
1343,B,B,B,23.5,2,2,2
1344,B,B,A,21.6,2,2,1
1345,B,B,A,27.7,2,2,1
1346,A,D,A,40.8,1,4,1
1347,A,B,B,31.3,1,2,2
1348,B,B,B,42.1,2,2,2
1349,B,B,A,18.8,2,2,1
1350,A,B,A,30.2,1,2,1
1351,B,E,A,40.9,2,5,1
1352,B,B,A,34.3,2,2,1
1353,C,E,E,37.5,3,5,5
1354,B,B,B,29.6,2,2,2
1355,A,E,A,39.4,1,5,1
1357,C,C,B,51.4,3,3,2
1358,B,F,D,38.3,2,6,4
1359,C,E,B,47.8,3,5,2
1360,D,D,C,57.6,4,4,3
1361,B,D,B,46.8,2,4,2
1362,B,D,B,33.6,2,4,2
1363,E,D,C,21.3,5,4,3
1364,D,D,A,32.5,4,4,1
1365,D,D,F,30.6,4,4,6
1366,D,B,B,31.4,4,2,2
1367,C,C,A,49.2,3,3,1
1368,B,B,A,44.1,2,2,1
1370,D,F,A,48.5,4,6,1
1371,A,B,A,49.8,1,2,1
1373,D,D,C,42.0,4,4,3
1374,B,D,B,54.0,2,4,2
1375,C,D,A,46.2,3,4,1
1376,D,D,B,28.1,4,4,2
1377,A,D,A,42.4,1,4,1
1379,F,F,D,58.4,6,6,4
1381,B,E,B,30.7,2,5,2
1382,B,D,A,34.6,2,4,1
1384,B,B,A,37.2,2,2,1
1385,B,B,B,29.4,2,2,2
1386,B,B,A,60.6,2,2,1
1387,B,C,A,40.0,2,3,1
1388,D,E,B,50.2,4,5,2
1389,B,A,A,43.3,2,1,1
1390,C,C,B,38.1,3,3,2
1391,B,B,A,66.3,2,2,1
1392,B,B,B,46.4,2,2,2
1393,B,F,A,41.9,2,6,1
1394,A,C,A,32.7,1,3,1
1395,E,A,B,34.9,5,1,2
1396,B,C,A,40.7,2,3,1
1398,A,B,B,63.8,1,2,2
1399,B,B,A,40.7,2,2,1
1400,A,B,A,56.6,1,2,1
1401,C,B,A,53.6,3,2,1
1402,B,B,A,35.7,2,2,1
1403,B,A,A,47.4,2,1,1
1404,D,D,E,50.8,4,4,5
1405,D,D,B,41.5,4,4,2
1406,B,B,B,56.4,2,2,2
1407,A,A,A,45.2,1,1,1
1408,B,B,A,35.9,2,2,1
1409,B,B,B,37.6,2,2,2
1411,B,C,A,54.2,2,3,1
1412,A,C,B,53.6,1,3,2
1413,B,B,A,40.6,2,2,1
1414,C,E,B,35.9,3,5,2
1415,B,B,A,43.9,2,2,1
1416,B,F,B,45.3,2,6,2
1417,B,B,A,39.5,2,2,1
1418,B,B,A,26.4,2,2,1
1419,B,B,A,53.3,2,2,1
1420,E,E,B,40.6,5,5,2
1421,B,B,A,51.6,2,2,1
1422,B,B,A,10.9,2,2,1
1423,A,B,A,27.2,1,2,1
1424,A,B,A,35.9,1,2,1
1425,D,B,A,43.4,4,2,1
1426,B,B,A,47.9,2,2,1
1427,B,B,A,42.6,2,2,1
1428,D,C,A,23.8,4,3,1
1429,E,E,B,51.7,5,5,2
1430,B,B,B,35.0,2,2,2
1431,C,D,B,44.0,3,4,2
1432,D,C,B,43.1,4,3,2
1433,D,F,C,65.4,4,6,3
1434,F,E,F,73.6,6,5,6
1435,B,E,C,73.9,2,5,3
1436,D,D,D,47.6,4,4,4
1437,B,D,B,29.9,2,4,2
1438,D,D,C,65.8,4,4,3
1439,E,E,C,40.6,5,5,3
1440,C,B,A,75.8,3,2,1
1441,F,D,B,68.8,6,4,2
1442,C,F,B,64.7,3,6,2
1443,B,C,B,50.6,2,3,2
1444,E,D,E,68.2,5,4,5
1445,F,F,F,75.1,6,6,6
1446,E,F,F,71.1,5,6,6
1447,D,E,E,53.7,4,5,5
1448,D,F,B,62.3,4,6,2
1449,E,E,C,70.0,5,5,3
1450,C,E,D,73.0,3,5,4
1451,D,E,C,53.3,4,5,3
1452,B,B,C,39.8,2,2,3
1453,C,F,E,80.2,3,6,5
1454,E,E,F,68.5,5,5,6
1455,D,D,F,55.7,4,4,6
1456,C,C,D,70.1,3,3,4
1457,D,D,E,76.4,4,4,5
1458,E,E,F,76.9,5,5,6
1459,D,D,E,64.7,4,4,5
1460,F,F,F,76.4,6,6,6
1461,D,C,E,60.5,4,3,5
1462,D,F,C,77.8,4,6,3
1463,C,D,C,64.5,3,4,3
1464,D,F,F,60.5,4,6,6
