,country,perc_a,IDV,EPI,GNI,PDI,MAS,UAI,Internet,proficiency,site
0,Argentina,0.54,46,59.02,,49,56,86,51.0,Alta,stackoverflow
1,Australia,0.61,90,,59570.0,36,61,51,79.5,Muito Alta,stackoverflow
2,Austria,0.63,55,63.21,48160.0,11,79,70,79.8,Muito Alta,stackoverflow
3,Belgium,0.61,75,61.21,44990.0,65,54,94,78.0,Alta,stackoverflow
4,Brazil,0.48,38,49.96,11630.0,69,49,76,45.0,Baixa,stackoverflow
5,Canada,0.6,80,,50970.0,39,52,48,83.0,Muito Alta,stackoverflow
6,Chile,0.48,23,48.75,14280.0,63,28,86,52.3,Baixa,stackoverflow
7,China,0.36,20,50.15,5680.0,80,66,30,38.3,Baixa,stackoverflow
8,Colombia,0.48,13,48.54,6990.0,67,64,80,40.4,Baixa,stackoverflow
9,Costa Rica,0.49,15,48.53,8740.0,35,21,86,42.1,Baixa,stackoverflow
10,Czech Republic,0.57,58,57.42,18130.0,57,57,74,73.0,Moderada,stackoverflow
11,Denmark,0.56,74,69.3,59770.0,18,16,23,90.0,Muito Alta,stackoverflow
12,Ecuador,0.45,8,51.05,5200.0,78,63,67,31.4,Baixa,stackoverflow
13,Egypt,0.44,25,42.13,3000.0,70,45,80,95.0,Muito Baixa,stackoverflow
14,El Salvador,0.47,19,43.46,3580.0,66,40,94,18.9,Muito Baixa,stackoverflow
15,Estonia,0.6,60,61.39,15830.0,40,30,60,76.5,Alta,stackoverflow
16,Finland,0.59,63,64.4,46940.0,33,26,59,89.4,Muito Alta,stackoverflow
17,France,0.59,71,52.69,41750.0,68,43,86,79.6,Moderada,stackoverflow
18,Germany,0.62,67,60.89,44010.0,35,66,65,83.0,Alta,stackoverflow
19,Guatemala,0.52,6,45.77,3140.0,95,37,101,12.3,Muito Baixa,stackoverflow
20,Hong Kong,0.51,25,52.5,36560.0,68,57,29,72.2,Moderada,stackoverflow
21,Hungary,0.56,80,58.55,12370.0,46,88,82,70.0,Alta,stackoverflow
22,India,0.46,48,53.54,1530.0,77,56,40,10.1,Moderada,stackoverflow
23,Indonesia,0.32,14,52.74,3420.0,78,46,48,12.3,Moderada,stackoverflow
24,Iran,0.47,41,41.83,,58,43,59,100.0,Muito Baixa,stackoverflow
25,Iraq,0.29,30,38.02,5870.0,95,70,85,5.0,Muito Baixa,stackoverflow
26,Ireland,0.56,70,,38970.0,28,68,35,76.8,Muito Alta,stackoverflow
27,Italy,0.53,76,52.8,33840.0,50,70,75,56.8,Moderada,stackoverflow
28,Japan,0.45,46,52.88,47870.0,54,95,92,79.1,Moderada,stackoverflow
29,Kuwait,0.41,25,41.8,44100.0,90,40,80,74.2,Muito Baixa,stackoverflow
30,Latvia,0.57,70,59.43,14200.0,44,40,63,71.7,Alta,stackoverflow
31,Malaysia,0.41,26,59.73,9800.0,104,50,36,61.0,Alta,stackoverflow
32,Mexico,0.47,30,49.83,9600.0,81,69,82,35.0,Baixa,stackoverflow
33,Morocco,0.44,25,42.43,2950.0,70,53,68,53.0,Muito Baixa,stackoverflow
34,Netherlands,0.62,80,68.99,48250.0,38,14,53,92.3,Muito Alta,stackoverflow
35,New Zealand,0.62,79,,30620.0,22,58,49,86.0,Muito Alta,stackoverflow
36,Norway,0.6,69,64.33,98860.0,31,8,50,94.0,Muito Alta,stackoverflow
37,Panama,0.47,11,43.7,9850.0,95,44,86,42.7,Muito Baixa,stackoverflow
38,Peru,0.48,16,51.46,5880.0,64,42,87,36.0,Baixa,stackoverflow
39,Poland,0.58,60,64.26,12660.0,68,64,93,64.9,Muito Alta,stackoverflow
40,Portugal,0.53,27,56.83,20580.0,63,31,104,57.8,Moderada,stackoverflow
41,Romania,0.56,30,58.63,8150.0,90,42,90,44.0,Alta,stackoverflow
42,Russia,0.52,39,50.44,12700.0,93,36,95,49.0,Baixa,stackoverflow
43,Saudi Arabia,0.41,25,39.48,21210.0,95,60,80,47.5,Muito Baixa,stackoverflow
44,Singapore,0.52,20,59.58,47210.0,74,48,8,71.0,Alta,stackoverflow
45,Slovakia,0.57,52,55.96,17180.0,104,110,51,74.4,Moderada,stackoverflow
46,Slovenia,0.61,27,60.6,22810.0,71,19,88,69.0,Alta,stackoverflow
47,South Africa,0.53,65,,7610.0,49,63,49,34.0,Muito Alta,stackoverflow
48,South Korea,0.32,18,53.62,22670.0,60,39,85,83.8,Moderada,stackoverflow
49,Spain,0.53,51,57.18,30110.0,57,42,86,67.6,Moderada,stackoverflow
50,Sweden,0.6,71,67.8,56210.0,31,5,29,94.0,Muito Alta,stackoverflow
51,Switzerland,0.64,68,58.29,82730.0,34,70,58,85.2,Alta,stackoverflow
52,Taiwan,0.4,17,52.56,,58,45,69,,Moderada,stackoverflow
53,Thailand,0.39,20,47.79,5210.0,64,34,64,23.7,Muito Baixa,stackoverflow
54,Turkey,0.47,37,47.8,10830.0,66,45,85,43.1,Muito Baixa,stackoverflow
55,United Kingdom,0.6,89,,38250.0,35,66,35,86.8,Muito Alta,stackoverflow
56,United States,0.59,91,,50120.0,40,62,46,77.9,Muito Alta,stackoverflow
57,Uruguay,0.57,36,49.61,13510.0,61,38,100,51.4,Baixa,stackoverflow
58,Venezuela,0.45,12,46.12,12500.0,81,73,76,,Muito Baixa,stackoverflow
59,Vietnam,0.37,20,51.57,1400.0,70,40,30,35.1,Baixa,stackoverflow
0,Argentina,0.25,46,59.02,,49,56,86,51.0,Alta,superuser
1,Australia,0.33,90,,59570.0,36,61,51,79.5,Muito Alta,superuser
2,Austria,0.27,55,63.21,48160.0,11,79,70,79.8,Muito Alta,superuser
3,Belgium,0.3,75,61.21,44990.0,65,54,94,78.0,Alta,superuser
4,Brazil,0.2,38,49.96,11630.0,69,49,76,45.0,Baixa,superuser
5,Canada,0.31,80,,50970.0,39,52,48,83.0,Muito Alta,superuser
6,Chile,0.25,23,48.75,14280.0,63,28,86,52.3,Baixa,superuser
7,China,0.18,20,50.15,5680.0,80,66,30,38.3,Baixa,superuser
8,Colombia,0.14,13,48.54,6990.0,67,64,80,40.4,Baixa,superuser
9,Costa Rica,0.16,15,48.53,8740.0,35,21,86,42.1,Baixa,superuser
10,Czech Republic,0.26,58,57.42,18130.0,57,57,74,73.0,Moderada,superuser
11,Denmark,0.28,74,69.3,59770.0,18,16,23,90.0,Muito Alta,superuser
12,Ecuador,0.21,8,51.05,5200.0,78,63,67,31.4,Baixa,superuser
13,Egypt,0.16,25,42.13,3000.0,70,45,80,95.0,Muito Baixa,superuser
14,El Salvador,0.3,19,43.46,3580.0,66,40,94,18.9,Muito Baixa,superuser
15,Estonia,0.35,60,61.39,15830.0,40,30,60,76.5,Alta,superuser
16,Finland,0.35,63,64.4,46940.0,33,26,59,89.4,Muito Alta,superuser
17,France,0.28,71,52.69,41750.0,68,43,86,79.6,Moderada,superuser
18,Germany,0.3,67,60.89,44010.0,35,66,65,83.0,Alta,superuser
19,Guatemala,0.26,6,45.77,3140.0,95,37,101,12.3,Muito Baixa,superuser
20,Hong Kong,0.28,25,52.5,36560.0,68,57,29,72.2,Moderada,superuser
21,Hungary,0.32,80,58.55,12370.0,46,88,82,70.0,Alta,superuser
22,India,0.18,48,53.54,1530.0,77,56,40,10.1,Moderada,superuser
23,Indonesia,0.21,14,52.74,3420.0,78,46,48,12.3,Moderada,superuser
24,Iran,0.2,41,41.83,,58,43,59,100.0,Muito Baixa,superuser
25,Iraq,0.2,30,38.02,5870.0,95,70,85,5.0,Muito Baixa,superuser
26,Ireland,0.3,70,,38970.0,28,68,35,76.8,Muito Alta,superuser
27,Italy,0.25,76,52.8,33840.0,50,70,75,56.8,Moderada,superuser
28,Japan,0.21,46,52.88,47870.0,54,95,92,79.1,Moderada,superuser
29,Kuwait,0.3,25,41.8,44100.0,90,40,80,74.2,Muito Baixa,superuser
30,Latvia,0.23,70,59.43,14200.0,44,40,63,71.7,Alta,superuser
31,Malaysia,0.2,26,59.73,9800.0,104,50,36,61.0,Alta,superuser
32,Mexico,0.24,30,49.83,9600.0,81,69,82,35.0,Baixa,superuser
33,Morocco,0.17,25,42.43,2950.0,70,53,68,53.0,Muito Baixa,superuser
34,Netherlands,0.28,80,68.99,48250.0,38,14,53,92.3,Muito Alta,superuser
35,New Zealand,0.34,79,,30620.0,22,58,49,86.0,Muito Alta,superuser
36,Norway,0.3,69,64.33,98860.0,31,8,50,94.0,Muito Alta,superuser
37,Panama,0.28,11,43.7,9850.0,95,44,86,42.7,Muito Baixa,superuser
38,Peru,0.27,16,51.46,5880.0,64,42,87,36.0,Baixa,superuser
